date,account_value
2021-10-13,939745.6910800003
2021-10-14,951733.9210800002
2021-10-15,960078.0910800003
2021-10-18,939401.1010800003
2021-10-19,943491.0410800002
2021-10-20,938871.0810800003
2021-10-21,950779.2510800002
2021-10-22,951010.9910800002
2021-10-25,949701.2510800002
2021-10-26,956421.6610800002
2021-10-27,950210.8410800003
2021-10-28,944431.3410800003
2021-10-29,952983.7910800002
2021-11-01,937738.1210800003
2021-11-02,921498.4310800002
2021-11-03,921477.7810800002
2021-11-04,916475.8910800003
2021-11-05,924448.5210800002
2021-11-08,950539.3410800003
2021-11-09,925082.8610800003
2021-11-10,918575.4910800003
2021-11-11,946942.7410800003
2021-11-12,949474.7210800003
