date,td3,sac,ppo,sse,ewtf,our,van
2020-10-28,1148469.8637900003,912262.7621800004,1004290.1460199994,1107952.0526223022,1037047.9713899998,1141785.7268899998,1024803.3962999984
2020-10-29,1152314.3037900005,909404.7921800005,1007334.0018699992,1103110.7994678635,1051193.7892899998,1147888.8513999998,1023835.2639199988
2020-10-30,1135082.6937900002,887711.0221800003,1000939.4759599996,1089808.1589104345,1025357.2622699998,1134019.3706599998,1017072.3314799984
2020-11-02,1110060.8637900003,873385.0321800003,993198.2859199994,1078220.59230515,1004045.93913,1111379.0619499995,1010213.8416499984
2020-11-03,1123521.2037900004,896848.2521800003,994721.8548199995,1098633.9697792204,1024919.53003,1115819.0574099997,1017021.6649499984
2020-11-04,1111667.36379,892306.7121800004,1000493.8482799996,1103072.094718235,1017063.4491499998,1114435.5800399997,1015865.9859599984
2020-11-05,1133402.6437900004,905986.1821800004,1009569.6939699994,1121199.3348759443,1022867.7359,1134417.88359,1020333.1023699986
2020-11-06,1119848.5237900002,908556.6621800005,1002897.8197499994,1120093.0310054985,999312.3873699998,1116859.7618299995,1017473.0930599984
2020-11-09,1152581.3437900003,940700.5121800004,1014574.9908899995,1143681.1133040325,1033116.61104,1141495.3575999998,1028009.8591399984
2020-11-10,1153689.9637900004,928008.3221800004,1012416.9886099994,1147561.757564846,1056671.37708,1147636.15716,1028278.8660099984
2020-11-11,1138947.9537900002,916049.7421800004,1013117.4070299997,1149959.674481599,1053648.7481599995,1143206.6252599997,1026460.9542599984
2020-11-12,1119029.8937900004,903498.1221800004,1004792.2787299994,1133426.7581973562,1060327.02302,1122441.9230099998,1022479.7418199984
2020-11-13,1093514.0737900003,891743.3621800004,992102.3189199996,1105599.047152135,1038372.8012699998,1091662.75139,1014642.1569999986
2020-11-16,1107351.3737900003,900326.9221800003,1000899.3276599994,1134718.843684916,1051400.2938299996,1105338.4051699997,1021387.8363799984
2020-11-17,1102637.3037900005,895987.3421800004,1000396.1248999994,1142721.3311825993,1027016.0576299998,1102928.7454899997,1020709.4684099986
2020-11-18,1107122.6837900002,903207.8321800004,997212.0567099996,1156965.9428262347,1025028.69269,1103596.5414499997,1025114.5344499988
2020-11-19,1114235.7537900002,911977.9421800004,999268.2874199994,1159589.1551653747,1031467.68331,1114248.7786099997,1026416.1697099986
2020-11-20,1116908.1937900004,912491.1721800003,1000583.7095599992,1151502.4432033638,1030286.60438,1115831.7465399995,1024786.5956799986
2020-11-23,1133928.8337900003,928138.2821800004,1007964.3199099994,1174577.0586319026,1053362.28102,1133379.6229899996,1032030.6799899988
2020-11-24,1119193.5837900003,913579.0521800003,1003986.2848999992,1160958.8568452396,1034484.99858,1123119.1781799998,1025963.6363099986
2020-11-25,1118455.2237900004,918025.8721800004,995718.4347399992,1179515.32169207,1026837.59311,1116674.1349099998,1026271.0562299984
2020-11-26,1126026.5237900002,934512.8621800004,995252.8864299993,1200075.7346950164,1020336.00904,1123005.1658299996,1028395.1274499984
2020-11-27,1149097.0537900005,953238.9421800004,1006424.8720899996,1215071.374387057,1035557.56674,1144612.6690099998,1035011.6673999984
2020-11-30,1144487.90379,948976.8521800004,1008352.5922199994,1216586.5112010536,1039633.9288,1146112.3760799998,1034768.7627299988
2020-12-01,1173573.7337900002,971477.7721800004,1014944.8159699994,1254569.8312256187,1056039.6546399998,1163980.6290699996,1044042.0857099984
2020-12-02,1167689.3337900003,966092.9621800004,1012568.4242799992,1247051.99758703,1050906.3080399998,1158016.8099199997,1041801.3174399986
2020-12-03,1162778.5637900005,964858.7021800004,1009305.9323499992,1236798.3865753266,1066599.1102,1153152.9752599995,1041518.2195199986
2020-12-04,1153857.9337900004,957338.3821800004,1007713.5673399993,1237131.6997846314,1058014.1402,1146480.9977699998,1039143.4075799988
2020-12-07,1149421.3337900003,940363.2521800004,1003398.5153399992,1216377.7630335423,1041327.3802,1140693.7602199996,1032690.2164599987
2020-12-08,1139390.0137900005,937078.6621800005,999261.7383799992,1193846.6558331558,1031361.2002,1135270.4183500002,1027127.0089799988
2020-12-09,1129938.2137900004,921639.9921800004,995016.6747399992,1189892.5115244514,1028995.8702,1129292.26659,1024311.577929999
2020-12-10,1132649.9637900002,927008.2621800004,997905.8650199992,1186942.6178700917,1030288.2102,1130267.62659,1024161.037929999
2020-12-11,1122152.6237900003,923595.1221800004,993151.0123299994,1168711.0626837828,1039445.70346,1120769.6050399998,1022110.2824099986
2020-12-14,1128481.3737900003,922089.3421800004,994944.3970399993,1186183.3870604353,1027897.3684,1127049.7332599997,1021569.6851099984
2020-12-15,1121549.0637900005,917202.2521800004,999594.9776999992,1172833.3252122654,1016256.0651,1125581.95333,1017353.4537099984
2020-12-16,1117730.8637900003,915407.2421800004,995081.5122699992,1178589.6143959889,1024376.23082,1123491.8575799998,1017774.4202999984
2020-12-17,1132923.9337900004,928721.1721800003,997687.3115199992,1201443.0151134606,1034012.7009299998,1132106.0464,1024672.471159998
2020-12-18,1128002.0737900003,916995.7021800004,1001602.6608399992,1189786.353974967,1019772.9338799996,1133857.5435399998,1019257.583629998
2020-12-21,1150864.4737900004,922786.2521800004,1019071.1204599992,1189521.0664005368,1024507.3499599998,1160634.22648,1018929.032109998
2020-12-22,1128478.7937900005,889074.8621800003,1010753.8886999992,1156424.2948355149,1012504.46971,1143671.0703499997,1007501.327209998
2020-12-23,1150984.7937900005,892766.6321800003,1023720.888969999,1167394.3511959258,1015611.71588,1165329.4863,1010525.553559998
2020-12-24,1138406.4137900004,887824.8921800003,1018196.7631499992,1160436.1005991132,1008824.4220199998,1156403.82133,1007517.4711699982
2020-12-25,1145542.8537900003,882439.7821800003,1023942.8179099992,1152496.796213464,996244.3786799998,1165381.5296899998,1005678.8674899982
2020-12-28,1139412.3937900004,883507.6521800003,1013613.790689999,1163120.818883841,974368.4543399998,1155692.1103899996,1005134.5387299982
2020-12-29,1137038.9537900004,883972.2821800004,1013747.6182799994,1169810.56340019,968350.9271799998,1152812.0558399996,1007025.8141299982
2020-12-30,1150533.7337900004,892694.0921800004,1021247.844869999,1176722.408454955,973906.72172,1164327.3439300002,1010127.484629998
2020-12-31,1175528.4937900004,923022.8721800004,1033984.787849999,1195090.5227853602,1007665.99045,1185686.3587899995,1018373.6659599984
2021-01-04,1189720.6537900004,926514.1721800003,1056148.510459999,1182316.715249671,996397.5960299998,1208371.6568599998,1014140.2034799984
2021-01-05,1198987.2337900004,926988.8421800004,1064733.0469499992,1174790.607983644,990396.1202999998,1217621.6558099997,1011559.0359699982
2021-01-06,1227793.3237900003,941953.6921800004,1098442.233369999,1200214.4965964537,1022589.71394,1255471.5882899996,1023508.5263299982
2021-01-07,1252222.3637900003,956594.1221800004,1112288.3156599991,1211914.7345349945,1017784.5842099998,1280414.0262699996,1026183.908479998
2021-01-08,1238770.5537900005,946136.7521800004,1110060.3324199992,1210138.9105432665,1013500.22993,1273336.3263599998,1024899.9835099978
2021-01-11,1205211.8037900005,929170.4021800004,1093287.6643999992,1184300.608274609,985376.5738,1246603.9214299996,1015508.1014299976
2021-01-12,1268797.3337900003,963143.1321800004,1120801.0504399992,1234923.4148812017,1028704.13803,1288623.5557099995,1034264.1645399976
2021-01-13,1246794.6537900006,939850.6421800004,1110111.830539999,1227230.057506199,1010532.96896,1273975.8147999996,1028620.1820699972
2021-01-14,1213225.3137900005,929189.8721800004,1082258.4823399992,1198224.4264021365,1003886.7523799998,1241134.62347,1021680.2177499976
2021-01-15,1220564.5537900005,941612.2221800004,1082742.0597899992,1219153.798306904,1019253.9498599998,1253254.7333399998,1026222.1769099976
2021-01-18,1222896.6937900004,943509.8621800004,1082249.9939999992,1226677.8386424505,1019036.8760599998,1259004.5026199997,1026304.9311899976
2021-01-19,1218916.1337900006,950260.4921800004,1080829.0814099992,1222513.6646693368,1015351.67069,1258413.4085699995,1025898.9001299976
2021-01-20,1226405.79379,926258.4021800004,1085865.388069999,1207784.9956236882,1003006.34369,1262437.4684299997,1018985.5776299974
2021-01-21,1242150.14379,927136.7621800004,1097900.1019899992,1205739.0415346904,1004578.93974,1280169.2465899996,1017413.1544299976
2021-01-22,1239475.2837900002,896245.1721800003,1100409.0582299994,1196262.401501683,991289.63653,1280007.95651,1010617.5535299976
2021-01-25,1234214.8337900003,900493.7021800004,1097630.658349999,1203520.9357587202,985294.39101,1273375.8211399997,1012940.7088499971
2021-01-26,1206145.8337900003,890790.6321800003,1077799.056129999,1178009.397482501,971433.1945,1248671.4390799997,1005667.435489997
2021-01-27,1231711.8037900005,889132.9721800003,1101153.6993899993,1187300.639756913,966036.0987899998,1281487.9665199996,1005130.9818699968
2021-01-28,1195326.6837900004,882802.7621800002,1068029.5157299992,1154492.334915281,937425.38607,1235708.36875,999795.2501699968
2021-02-19,1199380.17379,908870.0321800004,1094642.069059999,1207504.950165627,952289.31863,1281374.8874099995,1002703.0354499968
2021-02-22,1159550.1937900004,913633.6121800004,1064894.7470599993,1185027.9138666133,940282.9189299998,1242493.3169599995,995911.614969997
2021-02-23,1169174.1437900004,928253.2421800004,1061790.558649999,1200160.537899878,949855.55999,1248843.53082,998153.7823799968
2021-02-24,1142456.9237900004,905048.8621800004,1040821.5364899992,1184596.8525621225,930245.51571,1216000.23586,993102.8658999968
2021-02-25,1159205.7637900005,928311.1621800005,1053312.2674499988,1222807.3223409916,949473.57635,1235270.9019699995,1002624.6930399968
