date,our,ewtf,td3,sac,ppo,sse
2020-08-10,1325177.4716400004,1166193.4114,1206895.94906,1194799.74487,1042547.5057199994,1270859.7719603716
2020-08-11,1313509.7916400002,1147079.5970199995,1176294.7304899995,1168439.2855300002,1038878.1887699994,1267380.2954230038
2020-08-12,1279211.5216400002,1125108.7188399998,1165626.04332,1157494.5728900002,1030980.9197699996,1242981.73113688
2020-08-13,1273057.8016400002,1123655.4485399998,1160705.4750399997,1149847.3745399998,1031416.9851799994,1232592.2250591298
2020-08-14,1287331.8116400002,1134789.8211499995,1164100.6681799998,1159984.90033,1031518.5515799993,1244790.2431443701
2020-08-17,1311671.0216400004,1169225.2440100005,1199059.3093799998,1194378.76056,1034825.0558399993,1264746.868274263
2020-08-18,1326807.9116400003,1176321.42811,1200280.22213,1199121.8306800004,1036033.2351599992,1282410.0128728054
2020-08-19,1254537.2116400003,1114477.9848199997,1172829.95807,1175776.15268,1023416.361139999,1245596.2423847762
2020-08-20,1229362.7216400004,1098615.9615999998,1152238.9396999998,1151908.8871000002,1019462.5950699991,1222815.4922447007
2020-08-21,1241962.00164,1100081.4840599997,1153709.3318499997,1158218.4282,1021753.6321199992,1234423.0704202317
2020-08-24,1256296.3516400002,1103980.99316,1153087.28182,1163266.7634700001,1024843.4974199992,1247333.4475415403
2020-08-25,1270406.6716400003,1102052.15251,1145317.55212,1161174.2267500001,1025587.7374499993,1261977.9621061645
2020-08-26,1249271.7916400002,1088789.58562,1132229.9768399997,1147884.10215,1022622.0943299994,1251410.9982983083
2020-08-27,1254014.7416400004,1094907.2173499996,1136574.3963399997,1155980.9371800001,1023339.5722499995,1254227.299140313
2020-08-28,1316402.4316400003,1130737.57204,1171906.0877399999,1194506.20987,1044159.6879199994,1304295.0806187103
2020-08-31,1281654.3716400005,1119223.6842599995,1152815.75906,1181325.15274,1037739.9064999993,1285032.1284527362
2020-09-01,1296406.69164,1115799.1605399998,1145677.7104799997,1174027.0195099998,1040266.4602299996,1292030.192375811
2020-09-02,1306357.3516400002,1111060.54054,1144333.7735599997,1172201.9331,1042302.7231199997,1300728.5389761887
2020-09-03,1305866.3004400004,1106223.89983,1140603.24107,1168987.7148600002,1041823.5235999998,1301822.7533925313
2020-09-04,1288541.2166400002,1096722.07297,1125719.89003,1155176.6053800003,1037256.8814799997,1284604.3772813494
2020-09-07,1245893.9393700005,1071441.6380199995,1087027.69446,1125297.7335100002,1025259.1595299998,1252391.577413859
2020-09-08,1245356.5337100003,1094181.13908,1115223.10646,1152254.4745300005,1023760.3892799998,1254892.2734950278
2020-09-09,1212486.1628200004,1072030.3544399997,1092865.6963799999,1131677.14947,1013313.6713199997,1226784.184140509
2020-09-10,1236493.3184600002,1074119.3868299995,1098173.9600499999,1135752.2630699999,1017003.4569099997,1239044.5857275822
2020-09-11,1242809.41886,1074522.99552,1103591.9718699998,1139993.2283400001,1017476.3389499995,1245516.801596762
2020-09-14,1258435.6393100002,1065792.7958599995,1098718.4229999997,1136649.6687199997,1020628.4841599998,1254596.7137934072
2020-09-15,1290739.18889,1083447.1700199998,1108630.8993799998,1146864.03822,1031353.3748999997,1270892.617478636
2020-09-16,1268261.76159,1073658.6035,1092204.82846,1138548.066,1022371.1466099997,1254051.6400695578
2020-09-17,1240742.29903,1057915.6479099996,1066665.29576,1114519.79643,1016064.7512899998,1224080.0896643677
2020-09-18,1277666.1263800005,1104138.42997,1104173.0340799997,1163612.4701399999,1025155.54112,1259158.233818841
2020-09-21,1248351.1324600002,1089728.4358599996,1099739.6993699998,1150057.14503,1019252.6096699999,1242067.7823577418
2020-09-22,1236148.8142400002,1078936.5785099997,1098079.64587,1142220.9859600002,1017335.44582,1237061.04418011
2020-09-23,1274644.5120800002,1090339.94123,1108717.0824199996,1140616.0831000002,1031714.1968000002,1254758.4232616378
2020-09-24,1251326.4965200005,1074020.34997,1091777.02681,1121714.5688400003,1024313.5933700001,1231238.2442622564
2020-09-25,1274205.6029500002,1078882.56775,1099091.60955,1124956.14937,1029566.67355,1242822.8595534032
2020-09-28,1296429.8850000002,1080984.4936299997,1091586.29279,1126051.0751500002,1030101.558,1251050.716837698
2020-10-09,1229895.4692300002,1096192.59089,1118923.51279,1142959.76996,1028831.7257799999,1246105.2130184248
2020-10-12,1275938.8558300002,1132740.51401,1149468.73279,1181534.504,1042540.4389799999,1283411.5763474538
2020-10-13,1280606.6212900002,1135339.44049,1154753.29279,1170318.7947200001,1050220.89695,1282633.3663940243
2020-10-14,1258117.0758,1129918.7533099998,1146812.3527900001,1159515.50472,1048416.6634199999,1270538.1117130541
2020-10-15,1236750.3258000002,1132013.1293899997,1147971.40279,1162244.50472,1043930.4510499998,1263664.8647564051
2020-10-16,1243565.2658000004,1142879.9242399998,1154559.41279,1163800.47472,1047901.6607799997,1267268.3788411473
2020-10-19,1226989.8358000002,1124162.26744,1127667.6527899997,1146251.88472,1035531.1747999998,1247701.3133490824
2020-10-20,1225040.6558000003,1128468.76594,1118218.59279,1143100.0547200001,1040433.16933,1249853.9288755737
2020-10-21,1210772.9958000004,1134616.6067999995,1108084.96279,1140773.24472,1038545.74872,1240842.2058534452
2020-10-22,1209510.9458000003,1121441.42681,1095724.0527899999,1137262.4147200002,1032581.56902,1238553.5717097905
