tic,date,close,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,temporal_feature_0,temporal_feature_1,temporal_feature_2,temporal_feature_3,temporal_feature_4,temporal_feature_5,temporal_feature_6,temporal_feature_7,temporal_feature_8,temporal_feature_9,temporal_feature_10,temporal_feature_11,temporal_feature_12,temporal_feature_13,temporal_feature_14,temporal_feature_15,temporal_feature_16,temporal_feature_17,temporal_feature_18,temporal_feature_19,temporal_feature_20,temporal_feature_21,temporal_feature_22,temporal_feature_23,temporal_feature_24,temporal_feature_25,temporal_feature_26,temporal_feature_27,temporal_feature_28,temporal_feature_29,temporal_feature_30,temporal_feature_31,temporal_feature_32,temporal_feature_33,temporal_feature_34,temporal_feature_35,temporal_feature_36,temporal_feature_37,temporal_feature_38,temporal_feature_39
603259.SH,2021-05-06,149.09,4.205719184586826,160.56096343385994,126.66603656614004,52.91490436162864,86.66510006720067,13.942711358595336,140.69500000000002,146.00116666666665,-0.7515454,-0.38310066,1.361914,-1.1383427,0.3346992,1.5766206,-0.8387572,-0.22645204,-1.003405,0.8423354,2.1806977,-0.3415502,-0.51562345,2.3226402,1.8531326,0.7586124,1.3704112,0.61419743,0.54083306,0.31366917,-0.35058957,-1.2496458,-0.6521273,1.5888513,-1.2296005,-0.30696532,0.43268368,-0.61720425,0.76190245,-1.4980876,-0.5343044,-0.39829904,1.0917754,-0.62877655,2.6208148,1.7599838,0.02165581,-0.70742846,-2.1604855,0.7375744
603259.SH,2021-05-07,143.09,3.419434701285411,160.6170812931277,126.78491870687233,50.23863305989344,51.98211560823473,8.66905269121842,141.32133333333334,145.531,-0.03200824,0.97672385,0.5764479,-0.42617187,0.4096561,-0.058000073,-0.57586145,0.7705404,-0.7209415,-0.39841473,1.4247857,-0.3658697,-0.93741465,0.7449019,1.0588999,0.30476847,1.3326037,0.41678277,0.17236134,0.35285255,-0.32258177,-1.4525906,-1.1833987,1.1246086,-1.1162685,-0.76252276,0.42261714,-0.7210276,0.09722592,-0.87508523,-0.4698455,0.71975505,0.042230286,-0.58636135,1.6592512,0.78543836,0.50205404,0.5318305,-1.6484342,0.36325133
603259.SH,2021-05-10,146.4,3.0284775169178033,160.86671036954894,127.01028963045107,51.63463677937321,45.432180200701616,5.296861829127804,142.091,145.071,-0.19002925,1.5943683,0.022585358,-0.39011627,0.7961053,-0.75525093,-0.49104083,1.346837,-0.32035992,-0.14999276,0.9535478,-0.55053747,-1.2250712,0.29031688,0.78457224,-0.10333754,0.9775299,0.065239675,0.196898,0.17202179,0.08747161,-1.2157364,-1.0598677,1.0977181,-0.9190373,-1.1642363,-0.18034278,-0.59685457,-0.16269667,-0.6977238,-0.7618478,0.6501734,-0.38031244,-0.69007885,1.12671,0.41729087,0.83866286,0.6085037,-1.1452922,0.26746327
603259.SH,2021-05-11,149.98,2.9732435118785645,161.2453661668205,127.0096338331795,53.10655835489355,55.7809561485151,8.337479106875218,142.97966666666665,144.591,-0.5743199,1.3966621,-0.11294884,-0.5889743,0.5505984,-0.9633414,-0.6936646,1.0781399,-0.48358858,-0.093909346,0.99469185,-0.6841679,-1.2703389,0.24746741,0.836563,-0.01984057,0.7910085,-0.2223605,0.093118206,0.30107832,0.37027502,-1.0529746,-1.169463,1.1768153,-0.81767416,-0.97930473,-0.0054312903,-0.17851606,-0.13298024,-0.75012904,-0.78348655,0.63317627,-0.20319238,-0.90018594,0.9961897,1.0125167,1.0754777,0.08161171,-0.946014,0.6070352
603259.SH,2021-05-12,153.18,3.1513565448321117,162.2424497926953,127.37155020730474,54.39007005319806,94.267166514044,15.580870653300224,143.757,144.25849999999997,-0.9028714,0.8112455,-0.006678581,-1.0238457,0.16731231,-0.5553076,-0.85831076,0.65337193,-0.7796599,0.17871743,1.4620577,-0.7329254,-1.0999043,0.8563758,1.0211592,0.2501627,0.8058772,-0.04371656,0.11243402,0.7442554,0.27781242,-1.0862727,-1.308126,1.4722695,-0.8909743,-0.7495582,0.014865143,-0.057023756,0.19439378,-1.0889482,-0.6597484,0.24224499,0.22952634,-1.0306445,1.623112,1.57526,0.90555483,-0.56288993,-1.0953112,0.9153898
603259.SH,2021-05-13,154.0,3.320404003187946,162.7903105495938,128.9516894504062,54.71861482290811,93.72179978617483,15.580870653300236,144.35166666666666,143.88816666666665,-1.3724732,0.09869973,0.1456478,-1.4582522,0.03939375,0.10453924,-0.7247944,0.74434555,-0.9708898,0.64586526,1.7472191,-0.5668535,-0.71789134,1.6322423,1.2378781,0.36191842,0.83674735,0.24497513,0.53404117,1.1426518,0.09224389,-1.1936696,-1.316483,1.3391571,-1.1323967,-0.65550596,-0.10116235,-0.067559145,0.22330797,-1.2698301,-0.6825616,-0.36787462,0.77758914,-0.9967152,2.4554756,1.5213081,0.18202022,-0.8943382,-0.8868235,1.2713974
603259.SH,2021-05-14,153.2,3.351191567390515,163.13601550261666,130.4759844973833,54.323681537031504,95.61338137207008,18.904282302313934,144.903,143.4915,-1.0402993,0.0107497275,0.4950889,-1.1462426,0.020031964,0.28602055,-0.56604505,1.0765835,-0.74775505,0.6987191,1.913309,-0.39123273,-0.71852803,1.9784776,1.3536452,0.4570745,0.9974799,0.5218851,0.8093613,1.3050684,-0.11729725,-1.498057,-1.3219191,1.4769359,-1.1777085,-0.6028237,-0.13683176,-0.24013397,0.37512794,-1.1889601,-0.66933346,-0.7238399,0.8306791,-1.0008838,2.7546642,1.6989723,0.10372654,-0.9167091,-0.63047653,1.2122841
603259.SH,2021-05-17,161.43,3.9936468776074605,164.76697324162882,131.43802675837122,57.58184955851813,155.63962539174042,28.895496862637117,145.505,143.14816666666667,-0.64809686,0.23001182,0.28545016,-1.0071964,-0.060154483,0.26174247,-0.40723157,1.3416284,-0.53561676,0.72380185,1.9686284,-0.13222402,-0.7006024,1.92703,1.4075819,0.5481763,1.2326369,0.68929756,0.5825406,1.2717036,-0.2517539,-1.6951737,-1.3041365,1.444995,-1.2828131,-0.61415535,-0.2891561,-0.42989692,0.20933941,-1.1584753,-0.5654424,-0.53406614,0.55872947,-0.95490265,2.8944626,1.3328998,-0.12619981,-0.3040102,-0.44912565,1.0049657
603259.SH,2021-05-18,161.08,4.423563181878791,165.76461041379997,133.09838958620003,57.40171430573211,141.83347279797505,28.99044023407733,146.201,142.74949999999998,-0.8108029,-0.16319235,0.74233073,-1.3648938,-0.68529487,1.2160844,-0.6099243,0.46563688,-0.6825421,1.1778274,2.1865387,-0.1405944,-0.54717314,2.232272,1.9627734,1.0717471,1.4414698,0.6213871,0.16792715,1.1789274,-0.19818102,-1.496368,-1.1488596,1.4686153,-1.3404843,-0.003976634,-0.15076804,-0.35772118,0.22753812,-1.2133837,-0.75819016,-0.4050615,1.1139704,-0.72543555,3.1174374,1.2413888,-0.35047653,-0.5953175,-0.45012495,1.0490957
603259.SH,2021-05-19,158.6,4.512146460930353,165.87469571697673,135.38330428302325,56.11495124222252,121.68500544028214,28.99044023407733,146.67033333333336,142.52783333333335,-0.643692,-0.13544706,0.33511847,-1.2568588,-0.3675154,0.80900085,-0.5001663,0.6742778,-0.61351204,1.5622467,2.2832532,-0.2438088,-0.5742947,2.2724316,1.8240927,1.0090077,1.5389441,0.40410033,0.31925398,0.9102129,0.014455576,-1.5351937,-1.037404,1.4302142,-1.1495343,-0.3484534,-0.44379616,-0.34075895,0.17959245,-1.155354,-0.70879865,-0.50339335,0.8437006,-0.9005816,2.704446,1.0818855,-0.29367733,-0.41396126,-0.5077387,0.8527511
