date,8+,3+,sse
2022-04-13,1021491.4989600003,935922.5122800008,962715.3887732851
2022-04-14,1022333.3959600003,956409.7829600008,984136.571218348
2022-04-15,1021286.6339600004,954793.8440100003,982428.0705119112
2022-04-18,1022212.9549600004,948076.2986700006,974461.002106416
2022-04-19,1019507.9159600004,946345.4015100008,973582.9879635936
2022-04-20,1019699.5539600004,949254.5830300008,976680.6471748835
2022-04-21,1016238.1079600004,938860.4176500008,967056.9438205928
2022-04-22,1014925.2119600005,934774.2487500008,963290.5505314289
2022-04-25,1006336.1219600004,898421.0348200008,927839.4910900457
2022-04-26,1001668.9589600004,909828.9930700008,941102.4466053233
2022-04-27,1005887.4449600003,943351.7430800006,975032.3947029281
2022-04-28,1005722.4119600004,963256.0209100004,996437.5021581261
2022-04-29,1013701.1219600004,963191.3586400008,993246.5252523997
2022-05-05,1009975.4879600004,966278.8166300006,998095.8349625225
2022-05-06,1009054.9199600004,942913.4795300008,973910.2076351854
2022-05-09,1007300.4879600004,922028.6310000004,952204.9871390886
2022-05-10,1009318.9659600004,930288.2420000006,959744.6457711626
2022-05-11,1010283.8499600004,933548.7149400008,961494.0679450337
2022-05-12,1011510.3979600004,930896.5347200008,958607.2321108863
2022-05-13,1010821.9059600004,938769.1866000006,967057.8480940298
2022-05-16,1011263.9849600004,928005.6376200008,955978.0855609734
2022-05-17,1011068.8569600002,935490.5237400008,961670.8210433599
2022-05-18,1012292.8369600005,932413.6437400006,957865.3328695946
2022-05-19,1006424.3999600004,930074.1309000008,954984.0135631537
2022-05-20,1025302.2429600004,953453.7081000007,979112.5128767901
2022-05-23,1015842.3779600004,943170.0926800006,968825.417978382
2022-05-24,996570.6453000006,930852.6108400008,956982.5087842543
2022-05-25,995618.4864400004,928979.0410100007,954602.8242924355
2022-05-26,991702.2864400004,922834.9610100008,947881.5430230527
2022-05-27,997039.3464400003,929010.7810100009,954327.8480726698
2022-05-30,1012098.6482100004,941348.2110100008,966903.1034621923
2022-05-31,1032000.1781900004,954935.2010100008,981066.578813396
2022-06-01,1020969.0868500004,946798.1110100008,972396.926726465
2022-06-02,1020066.1636000004,945391.8410100008,971136.1421605827
2022-06-06,1028496.6513500004,946930.6410100008,972713.4966951687
2022-06-07,1044198.9692700004,961642.6210100006,989120.5207715322
2022-06-08,1067791.1001200003,985730.7310100008,1014455.8205524285
2022-06-09,1054043.1858400004,977904.9810100008,1007393.6250144339
2022-06-10,1077123.3187100005,1002077.3410100006,1033098.6191486453
2022-06-13,1055139.8387100005,979336.2410100008,1009086.573066503
2022-06-14,1063946.6300900006,987461.5010100006,1017338.530042241
2022-06-15,1072918.3838300004,990924.4010100006,1020401.469326571
