date,ewtf,our,td3,sac,ppo,sse
2020-12-15,1105618.8069000002,1054144.7116100003,946238.5300000003,947739.943,1000338.9833799991,992730.4354908465
2020-12-16,1125118.91732,1067982.9219400005,939500.6710000002,941661.9839999999,1000222.6921399991,998143.5605285418
2020-12-17,1168879.3017000002,1098708.0402300004,942686.8630000002,944582.071,1000440.681779999,1024259.6859224404
2020-12-18,1158365.7656500004,1090691.0627300006,947103.0310000002,947658.1359999999,1000065.3497799991,1016501.340530944
2020-12-21,1172860.6656100005,1100576.1156100004,941292.1660000002,941847.178,1000216.4205799991,1024246.959770669
2020-12-22,1183704.6369900005,1106962.2886400004,922926.3440000003,922937.2629999999,999680.4502599991,1017186.3618954143
2020-12-23,1190609.4515000004,1111749.5001100006,919221.6570000002,919232.487,999833.763879999,1020612.4996971497
2020-12-24,1197132.8547200004,1116244.1153100005,920181.9970000002,921434.7379999999,999756.3563799991,1023154.4438046643
2020-12-25,1245520.0789000003,1148057.2153500004,916979.3300000002,918092.973,1000050.909439999,1049454.7601091394
2020-12-28,1221103.2323000005,1131872.9938500004,902413.6860000002,904367.232,999949.980379999,1030387.8595991654
2020-12-29,1224696.73393,1133987.8459900003,920738.1460000002,922691.5889999999,999786.292039999,1038266.7651423806
2020-12-30,1242383.55233,1146447.6551000006,918744.4760000003,920271.816,999993.484859999,1049404.4032098511
2020-12-31,1273955.92773,1168823.4501300007,923457.8200000002,925128.0599999999,1000099.176219999,1067459.6551992546
2021-01-04,1295361.9810500003,1183949.9961300008,932956.1310000002,934194.2699999999,1000289.1268399991,1085430.4957515916
2021-01-05,1339427.7380500005,1216033.6536400006,927005.3760000002,926648.4169999999,1000970.4961399991,1113953.5069536984
2021-01-06,1356810.2360200002,1227257.7872200008,988757.6620000002,986940.6159999999,1000841.8807399992,1145726.5840096127
2021-01-07,1376159.24422,1241922.3417200006,973463.5250000001,973704.402,1001288.626219999,1153875.8638962875
2021-01-08,1379087.4380000003,1244187.2408300007,996693.4920000002,996638.2779999999,1001566.7286599991,1167680.355667268
2021-01-11,1390278.3176800003,1253637.5236700007,996389.3020000001,999164.999,1002159.609219999,1178688.7346944665
2021-01-12,1413059.6769600003,1271068.243270001,1004033.1140000002,1006208.703,1003089.4657999991,1203006.2843348351
2021-01-13,1349118.1819900004,1225574.5068500005,1012633.8750000002,1012997.36,1002992.676179999,1169976.6689365397
2021-01-14,1344298.47259,1220268.5410300004,1001379.5790000001,995662.972,1002782.767199999,1158618.6590257348
2021-01-15,1320455.8785000003,1204646.4952200006,988368.3570000002,988465.698,1002715.299599999,1139405.6816242873
2021-01-18,1357516.7443200003,1231896.3847600005,981740.2200000002,983377.4709999999,1003309.592439999,1161073.3887209822
2021-01-19,1354861.2385800004,1230121.2527500005,978324.1260000002,984611.277,1003018.041419999,1152240.956119971
2021-01-20,1451830.4843800005,1296514.2104000004,961626.0540000002,965260.51,1002808.8522799991,1195200.9005089428
2021-01-21,1503901.00906,1332273.9300000006,949060.0890000002,952840.867,1002877.784479999,1218270.6751316946
2021-01-22,1645368.0411700003,1431790.6317500006,931990.2040000003,934947.308,1002950.3162399989,1288244.3413407782
2021-01-25,1717876.5705300004,1480452.4578900004,943591.4270000003,947447.4097999999,1002380.9475399988,1322967.0826324823
2021-01-26,1613318.5353000003,1405824.6378300006,925825.5770000002,930819.0631899999,1001843.2024199988,1256393.2320327356
2021-01-27,1583196.8283500003,1385276.3179600006,922116.8380000002,928129.9231899999,1002029.8206599989,1240811.1707131746
2021-01-28,1543516.7473400002,1356794.0594600006,905172.4995000003,912700.8531899999,1001533.9577399988,1211263.1082585056
2021-01-29,1555410.5814000005,1365128.1527100008,899043.4995000003,908580.5531899999,1001599.0178799989,1213837.3349079825
2021-02-01,1600595.6287200006,1396990.2277500008,900658.9995000003,909546.9531899999,1002061.3576199989,1241825.8477356855
2021-02-02,1624882.9703600002,1412569.2668300008,892920.4995000003,900998.9131899999,1001919.3145399989,1250166.664261048
2021-02-03,1667510.6412200003,1439306.5763300008,886302.4995000003,895099.0631899999,1001268.4523199989,1263622.1050743258
2021-02-04,1615981.9993100006,1403820.2950800003,875337.4995000003,883691.8231899999,1000934.3140199989,1230817.3076179582
2021-02-05,1644249.5219700004,1422740.793020001,894850.2495000003,907160.7131899999,1000987.9377199989,1247701.3348090083
2021-02-08,1651902.6388500002,1429145.7812200007,912268.9995000003,923813.9331899999,1001332.5610999989,1261196.0172750906
2021-02-09,1697374.7583200005,1459226.6565400006,911466.4995000003,921613.8931899999,1001424.2224399988,1285228.6299882005
2021-02-10,1724516.8344000005,1478926.4568600007,923558.7495000003,937936.9531899999,1001974.7032399987,1304442.6383690317
2021-02-18,1605819.6174300003,1400194.8037100008,925822.2495000003,937965.2931899999,1002266.9608199988,1249633.3901746632
2021-02-19,1617657.76719,1409600.4696300006,973570.9995000003,981150.7031899998,1002571.2966999987,1275460.1647608152
