date,ewtf,our,ppo,sse,sac,td3
2020-08-14,1219685.8472399998,1196463.9011499998,1022795.8412299971,1135644.3835253504,1206776.769809999,1040311.5719999998
2020-08-17,1245693.5111599998,1215648.9205699998,1026039.7986099974,1168139.3377727296,1230666.4448799992,1054257.4549999998
2020-08-18,1250527.58966,1220145.1834900002,1027151.4796999973,1161629.7101500635,1239514.6529499989,1069688.0529999998
2020-08-19,1204294.8152,1175034.06086,1019092.7084699976,1136550.7054444693,1206821.332729999,1064262.3419999997
2020-08-20,1180785.3302899995,1151748.74238,1014637.8451699975,1120681.9827732556,1182899.1123799994,1043962.7369999998
2020-08-21,1199803.8240899998,1171638.0780200004,1018370.7774599976,1132311.46651616,1199811.509689999,1056186.0739999998
2020-08-24,1209235.36355,1180986.16222,1021164.8892399976,1131491.2084063746,1208445.066689999,1064412.18
2020-08-25,1230791.92923,1202162.16923,1026173.3691999977,1138726.2309934215,1224612.8666299991,1068477.4416999999
2020-08-26,1197961.7088,1171893.55618,1020125.5380199975,1121590.9178285412,1202879.6666999992,1076334.4416999999
2020-08-27,1203344.67351,1175421.95876,1020530.5947599976,1121746.9496919701,1205221.7928299992,1078462.2617
2020-08-28,1262942.26733,1234934.07196,1033316.5443199975,1156568.5792958494,1251072.612759999,1103941.3517
2020-08-31,1215315.49956,1188838.0249900003,1023155.8533599975,1135229.3796867551,1209062.7449299989,1088792.1217
2020-09-01,1242620.67102,1214998.0049900005,1029321.9945399974,1138601.9009804453,1227181.411839999,1082496.5517
2020-09-02,1257818.8210199997,1230648.2749900003,1033905.4428799974,1138567.8429441361,1238401.849939999,1084434.5317
2020-09-03,1257761.9210199998,1231854.83499,1034352.9860099973,1134262.9362433266,1239451.777949999,1085951.1016999998
2020-09-04,1240153.85102,1214151.25499,1030028.0018499973,1124307.832831541,1228065.951199999,1087944.0816999997
2020-09-07,1205996.96095,1182185.84047,1021516.1062699971,1113779.0563409706,1195690.230229999,1067219.3017
2020-09-08,1206961.5711299998,1181513.02912,1020296.3636199972,1132915.6633524694,1203239.711459999,1080583.8916999998
2020-09-09,1176540.36255,1152850.9471599995,1013108.6996699972,1116862.5861063513,1172193.664919999,1053433.9016999998
2020-09-10,1199508.32855,1178040.32303,1020258.844559997,1122689.7634031607,1191042.9824199989,1052755.7617
2020-09-11,1204895.0675499998,1183611.20596,1021975.0226699968,1127246.573521565,1195471.606749999,1050177.9716999999
2020-09-14,1228431.1425499998,1210332.64774,1029220.6054799969,1143513.7388567072,1217832.6809599989,1060279.8516999998
2020-09-15,1253296.72755,1240980.4039899998,1037985.153219997,1163757.7629173014,1243650.3919799991,1072877.1316999998
2020-09-16,1238795.0675499998,1222227.29104,1032661.3556899969,1149859.1509909926,1229227.6919999989,1066869.1616999998
2020-09-17,1226867.48855,1207773.09457,1029139.0330799968,1147064.176423207,1220979.989979999,1069235.5716999997
2020-09-18,1259721.61755,1241571.76629,1036621.5593299968,1189861.8539143237,1252019.2727799993,1083792.9416999999
2020-09-21,1239981.52555,1213473.90849,1028699.8430199968,1167417.9473546823,1228995.7815599989,1071858.1416999998
2020-09-22,1218455.1895499998,1193899.9089399998,1024217.9936999965,1144325.6436573733,1203116.100449999,1041337.6316999998
2020-09-23,1234474.4315499996,1223338.3617800002,1033873.3040799964,1146320.0143899922,1224082.535549999,1043955.5116999999
2020-09-24,1216584.2595499998,1200422.4782500002,1027448.6273599963,1126530.036070684,1203947.9554499988,1030009.5116999998
2020-09-25,1229017.3425500002,1221182.04397,1032954.9940199965,1135256.121911422,1218360.289499999,1026811.9716999998
2020-09-28,1237760.64055,1239962.1969100002,1039287.9700299965,1142516.0638303736,1232100.337079999,1028187.6916999999
2020-09-29,1235822.65455,1232355.1815400005,1037793.8858199965,1131267.288331922,1229669.858249999,1035131.2416999998
2020-09-30,1229920.8525499995,1225120.12352,1035969.3502299965,1125252.2900550887,1222476.2022299992,1033778.9916999999
2020-10-09,1224281.1215499998,1179421.0448900005,1019737.1071099965,1131548.2804638029,1196330.827919999,1052757.2917
2020-10-12,1255431.8795499995,1221292.9880799998,1033094.2018899965,1172656.1218202773,1236865.678569999,1082460.1716999998
2020-10-13,1255037.6395499995,1229830.97476,1036245.6756899967,1177979.9431569672,1243141.2285699989,1084506.3616999998
2020-10-14,1249076.00255,1213383.64988,1031089.3819199966,1174868.0809838718,1230965.1885699988,1088779.4116999998
2020-10-15,1245811.4425499998,1198325.33887,1024819.8987599965,1173494.1676788486,1215658.148569999,1081203.3816999998
2020-10-16,1251499.8795499995,1206241.17312,1026380.7184499966,1182066.3208917053,1219001.838569999,1078456.4216999998
2020-10-19,1248456.1385499998,1197696.64508,1022840.5501499968,1177154.1581914672,1209719.738569999,1067855.3316999997
2020-10-20,1249977.90155,1196406.0818,1022063.7420299966,1174649.8865380152,1208715.736779999,1079093.4716999999
2020-10-21,1255740.9215499996,1191312.26335,1019663.6625899966,1185369.4268168719,1206353.836779999,1088745.2617
2020-10-22,1247353.4575499997,1189228.5488299998,1019534.7397699965,1182610.4543811332,1198801.716779999,1076949.6616999998
2020-10-23,1242585.6865499998,1186354.39655,1016137.5283199968,1186667.5058437525,1191602.5567799988,1054783.9216999998
2020-10-26,1238851.97455,1158967.58209,1006418.5337499967,1168910.2565749676,1169247.7767799988,1059801.9917
2020-10-27,1234776.88187,1152989.3101200005,1004452.6436399965,1158727.9169753015,1162173.8067799988,1055360.0517
2020-10-28,1235963.83987,1187071.92012,1018923.7043999966,1158531.9850921112,1190351.5967799989,1072042.2516999997
2020-10-29,1236337.59787,1192531.5501200005,1022531.9427899967,1157302.996609778,1196934.4567799987,1084530.0117
2020-10-30,1209287.0328700002,1183765.9401200002,1019858.2235499967,1139693.0235014216,1186594.1167799986,1056264.8316999997
2020-11-02,1185539.66787,1167238.2101200002,1015097.0518299968,1128558.3242441602,1170449.8867799991,1039971.0916999998
2020-11-03,1206498.3328700005,1188381.14012,1021164.5186499967,1152210.5614508733,1187803.816779999,1051413.1716999998
2020-11-04,1215267.48087,1212862.65012,1030046.2541399968,1166828.6972693964,1206636.156779999,1065757.7816999997
2020-11-05,1233234.21687,1218849.35012,1030072.2007699969,1180492.8493104433,1222100.2267799992,1085792.2417
2020-11-06,1229079.5618700003,1208216.5901199998,1027047.6270999969,1179379.6533034435,1218409.456779999,1089022.8016999997
2020-11-09,1265498.97287,1232713.4601200002,1032781.4330399968,1202208.3356794184,1244563.3967799991,1108190.8616999998
2020-11-10,1283361.3138700002,1189950.07012,1015773.0532699968,1197205.1592402994,1217315.2467799988,1129975.2417
2020-11-11,1282995.8251200002,1187635.64012,1016233.9869999968,1201282.2770676569,1215352.236779999,1134834.2517
2020-11-12,1275919.09212,1214070.66012,1029974.7862999968,1196748.7185282041,1238434.576779999,1143401.2317
2020-11-13,1258398.6002699998,1190356.27012,1020952.4759299967,1171847.1937647057,1219511.436779999,1134159.2816999997
2020-11-16,1276450.12295,1182935.9801200002,1016678.9698399968,1191737.2954385858,1222135.7067799987,1149338.0317
2020-11-17,1282844.1296900003,1172234.2001200002,1011545.2032799968,1198653.5784388473,1216415.3068199991,1152566.7916999997
2020-11-18,1303845.2538200002,1162735.09012,1005591.123779997,1211695.135031799,1209915.7054999992,1167296.0417
2020-11-19,1312056.6368300002,1191320.87012,1018260.9783699969,1221175.3554866319,1231507.3377999992,1174125.8316999997
2020-11-20,1308719.1819200004,1196649.23012,1020746.4987799968,1217279.8094138463,1237100.7651899988,1178665.8516999998
2020-11-23,1317791.75753,1212235.54012,1030166.4369599968,1238125.1262874405,1254585.208859999,1195392.4516999999
2020-11-24,1311952.44057,1220333.73012,1034372.1117399968,1228208.3763454412,1256855.0389299989,1187895.6716999998
2020-11-25,1317841.53521,1217585.44012,1028764.9295899966,1238541.0221799405,1253800.238869999,1174195.0617
2020-11-26,1343708.3454500006,1233147.04012,1034383.1161599967,1260049.430840035,1267039.615609999,1186464.5617
2020-11-27,1350816.4497,1252238.25012,1042941.9642599968,1276338.4805845576,1286566.7154599987,1193965.1416999998
2020-11-30,1339382.2407700005,1245806.8801200003,1041001.1291699968,1268882.1849960585,1279874.3366199993,1175054.5117
