date,ewtf,ppo,sse,sac,td3,our,van
2020-09-24,1216584.2595499998,1027448.6273599964,1126530.036070684,1203947.9554499988,1030009.5116999998,1197377.9982,1098966.469479999
2020-09-25,1229017.3425500002,1032954.9940199964,1135256.121911422,1218360.289499999,1026811.9716999998,1213819.99484,1115332.8311699992
2020-09-28,1237760.64055,1039287.9700299964,1142516.0638303736,1232100.337079999,1028187.6917,1226851.05891,1129035.2342499995
2020-09-29,1235822.65455,1037793.8858199964,1131267.288331922,1229669.858249999,1035131.2416999998,1227961.2450300003,1125777.8027699993
2020-09-30,1229920.8525499995,1035969.3502299964,1125252.2900550887,1222476.2022299992,1033778.9917,1222494.3449700002,1121325.3695199993
2020-10-09,1224281.1215499998,1019737.1071099964,1131548.2804638029,1196330.827919999,1052757.2917,1188473.2088700002,1077972.6735199993
2020-10-12,1255431.8795499995,1033094.2018899964,1172656.1218202773,1236865.678569999,1082460.1716999998,1220943.919,1108761.5519399992
2020-10-13,1255037.6395499995,1036245.6756899968,1177979.9431569672,1243141.2285699989,1084506.3616999998,1226203.68611,1113301.5096099991
2020-10-14,1249076.00255,1031089.3819199966,1174868.0809838718,1230965.1885699988,1088779.4116999998,1215452.9932700002,1098916.721059999
2020-10-15,1245811.4425499998,1024819.8987599964,1173494.1676788486,1215658.148569999,1081203.3816999998,1194132.5847000002,1085215.857109999
2020-10-16,1251499.8795499995,1026380.7184499966,1182066.320891705,1219001.838569999,1078456.4216999998,1195706.1309400003,1089044.2031699992
2020-10-19,1248456.1385499998,1022840.5501499968,1177154.1581914672,1209719.738569999,1067855.3316999995,1181428.33878,1079462.4523499992
2020-10-20,1249977.90155,1022063.7420299966,1174649.8865380152,1208715.736779999,1079093.4717,1189918.01878,1078669.381839999
2020-10-21,1255740.9215499996,1019663.6625899966,1185369.426816872,1206353.836779999,1088745.2617,1182025.99878,1070905.467329999
2020-10-22,1247353.4575499997,1019534.7397699964,1182610.4543811332,1198801.716779999,1076949.6616999998,1172556.21878,1070122.897119999
2020-10-23,1242585.6865499998,1016137.5283199968,1186667.5058437523,1191602.5567799988,1054783.9216999998,1157521.8687800004,1061072.595759999
2020-10-26,1238851.97455,1006418.5337499968,1168910.2565749676,1169247.7767799988,1059801.9917,1138926.45878,1038561.4108699989
2020-10-27,1234776.88187,1004452.6436399964,1158727.9169753017,1162173.8067799988,1055360.0517,1132391.9987800005,1037172.8579999988
2020-10-28,1235963.83987,1018923.7043999966,1158531.9850921112,1190351.5967799989,1072042.2516999997,1177627.24878,1062215.8583199987
2020-10-29,1236337.59787,1022531.9427899969,1157302.996609778,1196934.4567799987,1084530.0117,1186096.0087800005,1068779.7181999988
2020-10-30,1209287.0328700002,1019858.2235499969,1139693.0235014216,1186594.1167799986,1056264.8316999995,1171516.66878,1063489.2994299987
